dmel	dsim
a	GD28168
abd-A	GD20268
Abd-B	Abd-B
abo	GD22208
ac	GD27873
Ace	Ace
acj6	GD15807
Acph-1	GD17508
nAChRalpha1	GD18289
mAChR-A	GD24962
nAChRbeta1	GD13845
nAChRalpha2	GD21103
ade2	GD22605
ade3	GD22518
Adh	Adh
Adhr	Adhr
adp	GD11343
al	GD23020
Mps1	GD19180
Ald	GD18141
Ama	Ama
amd	amd
amx	GD24561
AnxB9	GD19393
AnxB10	GD22929
CG2650	GD24605
Anp	Anp
aop	GD22871
RpLP0	GD15019
Appl	GD16511
Aprt	GD13427
bru1	GD23828
Arl1	GD14586
Argk	GD29168
arm	GD16405
arr	GD25759
Arr1	GD24126
Arr2	GD12969
ase	GD16504
ash2	GD21115
asp	GD21126
aub	GD22205
aurA	GD18792
awd	GD16337
Axs	GD15734
b	GD23928
Dll	GD11901
bam	bam
baz	GD17331
bcd	bcd
ben	GD17149
bi	GD16691
bib	GD23647
bic	GD10924
BicC	GD24037
BicD	GD21867
boss	boss
brm	GD12525
Brd	GD14511
brn	GD16669
Bsg25A	GD22697
Bsg25D	GD22658
bsk	GD22289
btd	GD16963
bur	GD21646
bw	GD25039
by	GD20789
c(3)G	GD20329
ca	GD21470
cact	cact
cad	GD24280
Cam	GD10849
capu	GD22724
car	GD17447
CkIIbeta	GD17050
Cat	Cat
Pka-C1	GD22345
Pka-C2	GD16880
CecB	CecB
Cp190	Cen190
Cf2	GD22683
salr	GD23776
cg	GD11028
Col4a1	GD23318
ChAT	GD19246
chif	GD21913
chic	chic
cin	GD16497
ck	GD21973
cl	GD23345
Chc	GD15774
eya	GD22568
clt	GD25183
cm	GD16169
cn	GD15302
cni	GD21921
comt	GD17110
cort	GD22554
cos	GD10265
Cp15	GD14122
Cp16	Cp16
Cp19	GD14123
Cp36	GD16904
Cp38	GD28379
crc	GD24316
crm	crm
crn	GD24613
csw	GD24731
cta	GD17672
cup	GD23426
cv	GD16744
cv-2	GD25201
CycA	GD12771
CycB	GD15503
Cyt-b5-r	GD21896
D	GD12627
D1	GD28350
Dab	GD14655
Sap-r	Sap-r
Ddc	Ddc
SmF	GD15243
45627	45627
Dfd	GD19895
Pkg21D	GD22942
Dhod	GD20856
Hr3	GD26001
dib	GD13808
ect	GD12869
Dip-B	GD18934
Dip-C	GD20570
disco	GD28827
Dl	Dl
Lar	GD24230
Cyp6a2	Cyp6a26
DNaseII	GD19194
dnc	GD16638
dor	dor
Pka-C3	GD12529
dpp	dpp
Dr	GD21441
dsh	GD29351
Dsk	Dsk
dsx	GD19448
dwg	GD16618
dx	GD16802
e	e
bsh	GD21734
ea	GD19011
eag	GD17183
eas	GD24830
E(bx)	GD13529
ec	GD16657
ecd	GD13400
EcR	GD10334
ed	GD23268
Edg78E	GD12126
Edg84A	GD19888
eEF1alpha2	GD21598
eEF2	GD21631
eg	GD15001
egl	GD25020
Eh	Eh
Eip71CD	GD14549
Eip55E	GD11400
Eip74EF	GD12395
Eip75B	GD12358
emc	GD13571
ems	GD18937
en	en
ena	GD11431
Eno	GD22899
E(Pc)	GD10801
esc	GD22153
E(spl)m8-HLH	E(spl)
eve	GD27730
exd	GD17261
exu	GD25256
e(y)1	GD17368
e(y)2	GD24533
eyg	GD12719
E(z)	GD12857
CG17716	GD10980
Fas2	Fas2
Fas3	GD24138
Fbp1	GD12631
Fbp2	Fbp2
Fcp3C	GD16341
fj	GD23059
fkh	GD18028
fl(2)d	GD25741
Actn	GD28856
fliI	GD24888
flw	GD16975
FMRFa	GD10699
fog	GD15480
for	GD22740
FER	GD20803
gd	GD15951
fs(1)K10	GD16603
png	GD16426
fs(1)Ya	GD24737
fs(1)Yb	GD29151
dup	GD25618
ft	GD22718
ftz	ftz
ftz-f1	GD12327
fu	GD24858
fw	GD15948
fy	GD22404
fz	GD14489
fzy	GD24052
g	GD15877
Gal	GD22613
bnb	bnb
Gdh	GD18335
gdl	GD27401
Galphai	GD13099
Gbeta13F	GD17247
DCTN1-p150	GD14462
Gld	Gld
Glt	GD23558
gnu	GD12596
Galphao	GD10742
Galphas	GD11812
Got1	GD11164
Got2	GD22881
Gpdh	Gpdh
grau	GD25235
Grd	GD14728
grk	GD22401
grn	GD20889
gro	GD21265
Gs1	GD23002
Gs2	GD17021
gsb-n	GD24898
gsb	GD11918
GstD1	GstD1
gt	GD28699
h	h
H	GD19363
H2.0	GD22610
halo	GD22905
hay	GD14248
hb	GD15118
her	GD24067
Hex-A	GD24777
Hex-C	GD25630
hfw	GD27649
His2Av	GD21310
hook	GD21788
Hmr	Hmr
Hn	GD14035
Hrb98DE	GD28673
Hsc70-1	GD14466
Hsc70-2	GD18878
Hsc70-3	GD15970
Hsc70-5	GD25692
Hsf	Hsf
Hsp22	GD14173
Hsp23	GD14176
Hsp26	GD12933
Hsp27	GD14177
Hsp67Ba	GD12932
CG4456	GD27709
Hsp67Bc	GD12934
Hsp68	Hsp68
Hsp83	Hsp83
hth	GD20718
Ide	GD12197
Idh	GD12997
if	GD15725
ImpE1	GD17629
ImpE2	GD13325
ImpE3	GD19436
ImpL1	GD14446
ImpL2	ImpL2
ImpL3	GD13128
in	GD14880
inaD	GD25102
inv	GD10802
ix	GD15252
janA	janA
Jon44E	GD10590
Jra	GD15385
kar	GD20550
kay	GD21465
kel	GD21844
Khc	GD25552
kkv	GD27435
klar	GD25703
kn	GD25656
kni	kni
knk	GD20733
knrl	GD12173
kto	GD14832
Kr	GD11921
kz	GD16383
l(1)1Bi	l(1)1Bi
egh	GD29019
l(1)10Bb	GD15995
Hlc	GD15498
Grip91	GD15876
dlg1	GD17020
ifc	GD23376
eIF4A	GD23375
Arpc1	GD22039
Sos	Sos
NimC3	GD22021
Pgant35A	GD23962
l(2)35Bd	GD23987
CIAPIN1	GD21974
stc	GD23996
esg	GD24004
wor	GD21956
Mtr4	GD24019
Gli	GD21942
ND-B17	GD21943
wek	GD21941
Ca-alpha1D	GD24041
Cyp303a1	GD24048
crp	GD21926
mRpL4	GD21919
l(2)37Bb	GD21785
Catsup	Catsup
Lim3	GD21780
l(2)37Cc	GD21777
CG10561	GD24185
swm	GD24214
AspRS	GD10925
l(2)gl	GD22996
l(2)tid	GD11789
dre4	GD13429
l(3)73Ah	GD14649
Prosbeta6	GD12455
sas	GD19918
l(3)87Df	GD18874
dco	GD16644
hyd	hyd
l(3)mbn	GD13154
l(3)mbt	GD15078
sti	GD12711
pho	pho
lab	GD19533
lace	GD24010
Lam	GD28792
LanA	GD13136
lds	GD19959
robo2	GD22909
lin	GD10612
l(1)sc	l(1)sc
Lsp1alpha	GD17082
Lsp1beta	GD23056
Lsp1gamma	Lsp1gamma
Lsp2	GD14358
lt	GD26811
Rab32	GD10095
Mal-A2	GD10563
Mal-A1	Mal-A1
Mal-A3	GD10167
sens	GD12667
lz	GD16951
m	GD17048
Kaz-m1	m1
RpL36	GD16468
RpS5a	GD15697
E(spl)m2-BFM	GD18155
RpLP1	GD23023
E(spl)m3-HLH	HLHm3
RpS3	GD21014
RpL32	RpL32
E(spl)m4-BFM	m4
E(spl)m5-HLH	HLHm5
E(spl)m6-BFM	m6
E(spl)m7-HLH	HLHm7
Rcc1	GD13166
mal	GD19688
mam	GD11001
Map205	GD16184
twe	GD21927
mei-218	mei-218
mei-S332	GD11646
mei-W68	GD11457
Men	Men
Met	GD17037
E(spl)malpha-BFM	malpha
E(spl)mbeta-HLH	HLHmbeta
E(spl)mdelta-HLH	HLHmdelta
E(spl)mgamma-HLH	HLHmgamma
mago	GD11565
Mlc1	Mlc1
Mlc2	GD17257
mle	GD10344
msl-3	GD13090
mnd	GD14516
mod	GD21612
mor	GD20313
Rpn8	GD11854
Mp20	GD10956
mr	GD11818
ms(3)K81	ms(3)K81
sa	GD12120
Acp26Aa	Acp26Aa
Acp26Ab	Acp26Ab
Acp95EF	GD21079
MtnA	MtnA
mu2	GD13423
mud	GD28353
mus101	GD28991
mus201	GD23543
mus205	GD15358
mus301	GD14056
mus304	GD14744
mus308	GD20546
Blm	GD20640
mus312	GD14006
